Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;1991-2020;A CORUÑA;11.9;12.9;15.2;16.5;19.0;21.7;23.6;24.1;22.4;18.7;14.4;12.6;17.8
Temperatura media de las máximas;1991-2020;ALBACETE;10.7;12.4;15.9;18.7;23.3;29.4;33.6;32.9;26.9;21.0;14.5;11.2;20.9
Temperatura media de las máximas;1991-2020;ALICANTE/ALACANT;14.4;15.3;17.8;20.1;23.7;28.1;31.1;31.2;27.3;23.0;17.8;15.0;22.1
Temperatura media de las máximas;1991-2020;ALMERIA;13.9;14.7;17.1;19.2;23.2;28.0;31.6;31.5;26.8;22.4;17.2;14.7;21.7
Temperatura media de las máximas;1991-2020;ARABA/ALAVA;8.6;9.8;13.3;15.4;19.3;23.2;25.8;26.3;22.7;17.9;12.0;9.1;17.0
Temperatura media de las máximas;1991-2020;ASTURIAS;10.6;11.4;13.8;15.0;17.7;20.6;22.8;23.5;21.3;17.7;13.0;11.1;16.5
Temperatura media de las máximas;1991-2020;AVILA;8.1;9.7;13.0;15.1;19.5;25.4;29.4;29.1;23.9;17.7;11.5;9.0;17.6
Temperatura media de las máximas;1991-2020;BADAJOZ;12.8;14.8;18.4;20.7;25.3;30.9;34.7;34.4;29.4;23.1;16.7;13.4;22.9
Temperatura media de las máximas;1991-2020;ILLES BALEARS;14.6;14.9;17.2;19.6;23.4;27.8;30.7;31.0;27.2;23.3;18.4;15.6;22.0
Temperatura media de las máximas;1991-2020;BARCELONA;10.8;12.4;15.7;17.9;21.9;26.4;29.4;29.2;24.8;20.2;14.5;11.1;19.5
Temperatura media de las máximas;1991-2020;BIZKAIA;11.6;12.3;14.9;16.5;19.7;22.4;24.3;25.2;23.0;19.6;14.5;12.3;18.0
Temperatura media de las máximas;1991-2020;BURGOS;7.5;9.3;12.9;15.0;19.0;24.0;27.3;27.4;23.0;17.4;11.1;8.2;16.8
Temperatura media de las máximas;1991-2020;CACERES;11.8;13.9;17.5;19.8;24.3;30.2;34.1;33.8;28.6;22.0;15.6;12.3;22.0
Temperatura media de las máximas;1991-2020;CADIZ;15.6;16.6;19.0;20.9;24.4;28.6;32.1;32.3;28.4;24.2;19.0;16.4;23.1
Temperatura media de las máximas;1991-2020;CANTABRIA;10.3;11.2;13.6;15.2;18.0;21.1;23.1;23.8;21.6;18.0;13.2;11.0;16.7
Temperatura media de las máximas;1991-2020;CASTELLON/CASTELLÓ;12.4;13.3;15.9;17.9;21.5;26.0;29.0;29.1;25.1;20.9;15.8;13.0;20.0
Temperatura media de las máximas;1991-2020;CEUTA;16.2;16.3;17.7;19.4;21.9;25.4;27.9;28.1;25.6;22.3;19.0;16.9;21.4
Temperatura media de las máximas;1991-2020;CIUDAD REAL;10.9;13.1;16.8;19.3;24.2;30.4;34.7;34.2;28.3;21.7;14.9;11.5;21.7
Temperatura media de las máximas;1991-2020;CORDOBA;13.1;15.0;18.6;21.0;25.6;31.4;35.5;35.2;29.6;23.4;16.9;13.8;23.3
Temperatura media de las máximas;1991-2020;CUENCA;9.5;11.3;15.0;17.3;22.0;28.0;32.2;31.6;25.7;19.6;13.1;10.0;19.6
Temperatura media de las máximas;1991-2020;GIPUZKOA;10.7;11.5;14.3;16.0;19.3;22.2;24.2;25.0;22.5;19.0;13.7;11.4;17.5
Temperatura media de las máximas;1991-2020;GIRONA;11.5;12.5;15.4;17.5;21.4;25.7;28.6;28.7;24.3;20.0;14.8;11.9;19.4
Temperatura media de las máximas;1991-2020;GRANADA;11.3;12.6;15.7;18.0;22.5;28.3;32.6;32.2;26.4;20.9;14.8;12.1;20.6
Temperatura media de las máximas;1991-2020;GUADALAJARA;8.3;10.2;13.9;16.1;20.6;26.5;30.6;30.2;24.6;18.2;11.8;8.9;18.3
Temperatura media de las máximas;1991-2020;HUELVA;15.0;16.6;19.7;21.6;25.6;30.5;34.2;34.1;29.6;24.4;18.7;15.7;23.8
Temperatura media de las máximas;1991-2020;HUESCA;8.4;10.6;14.3;16.7;21.0;26.2;29.4;29.0;23.8;18.5;12.2;8.7;18.2
Temperatura media de las máximas;1991-2020;JAEN;12.0;13.7;17.4;19.9;24.7;30.6;35.0;34.4;28.4;22.3;15.7;12.8;22.2
Temperatura media de las máximas;1991-2020;LA RIOJA;8.3;9.6;13.3;15.4;19.5;24.4;27.5;27.6;22.9;17.8;11.6;8.7;17.2
Temperatura media de las máximas;1991-2020;LAS PALMAS;19.2;19.7;20.9;21.5;23.0;24.7;26.7;27.6;26.6;25.1;22.5;20.3;23.2
Temperatura media de las máximas;1991-2020;LEON;7.2;9.3;12.7;14.6;18.4;23.3;26.5;26.3;22.2;16.4;10.6;7.8;16.3
Temperatura media de las máximas;1991-2020;LLEIDA;8.0;10.4;14.2;16.5;20.9;25.9;29.2;28.7;23.7;18.4;12.0;8.1;18.0
Temperatura media de las máximas;1991-2020;LUGO;10.0;11.3;14.1;15.6;18.6;21.9;24.2;24.8;22.2;17.8;12.5;10.4;17.0
Temperatura media de las máximas;1991-2020;MADRID;9.6;11.5;15.2;17.6;22.2;28.2;32.2;31.6;26.2;19.6;13.2;10.1;19.8
Temperatura media de las máximas;1991-2020;MALAGA;14.0;15.0;17.3;19.5;23.3;28.2;31.9;31.9;27.3;22.5;17.3;14.7;21.9
Temperatura media de las máximas;1991-2020;MELILLA;17.0;17.3;18.6;20.4;23.1;26.3;29.3;29.8;27.2;23.9;20.3;17.9;22.6
Temperatura media de las máximas;1991-2020;MURCIA;14.0;15.2;17.9;20.4;24.4;29.2;32.6;32.5;27.8;23.0;17.4;14.6;22.4
Temperatura media de las máximas;1991-2020;NAVARRA;8.8;10.3;13.9;16.1;20.2;24.8;27.6;27.8;23.4;18.4;12.2;9.2;17.7
Temperatura media de las máximas;1991-2020;OURENSE;9.3;11.0;14.3;15.9;19.4;23.6;26.7;27.0;23.5;17.8;12.2;9.8;17.5
Temperatura media de las máximas;1991-2020;PALENCIA;7.2;9.6;13.2;15.3;19.4;24.5;27.8;27.6;23.2;17.3;11.1;7.9;17.0
Temperatura media de las máximas;1991-2020;PONTEVEDRA;11.9;13.2;15.9;17.3;20.0;23.2;25.6;25.9;23.5;19.2;14.5;12.5;18.6
Temperatura media de las máximas;1991-2020;SALAMANCA;9.0;11.1;14.5;16.5;20.8;26.4;30.3;30.0;25.1;18.8;12.5;9.6;18.7
Temperatura media de las máximas;1991-2020;SANTA CRUZ DE TENERIFE;16.6;16.7;17.7;18.4;19.9;22.4;25.3;26.0;24.1;22.1;19.4;17.5;20.5
Temperatura media de las máximas;1991-2020;SEGOVIA;7.7;9.7;13.3;15.5;19.9;25.7;29.5;29.1;24.0;17.8;11.4;8.7;17.7
Temperatura media de las máximas;1991-2020;SEVILLA;15.0;16.8;20.1;22.3;26.5;31.6;35.4;35.3;30.4;25.0;18.9;15.7;24.4
Temperatura media de las máximas;1991-2020;SORIA;7.6;9.3;12.9;15.0;19.4;24.8;28.6;28.5;23.2;17.4;11.1;8.3;17.2
Temperatura media de las máximas;1991-2020;TARRAGONA;12.1;13.9;17.1;19.4;23.2;27.7;30.6;30.6;26.5;21.8;15.9;12.5;20.9
Temperatura media de las máximas;1991-2020;TERUEL;8.6;9.9;13.3;15.6;20.0;25.3;29.2;28.8;23.4;18.1;12.0;9.2;17.8
Temperatura media de las máximas;1991-2020;TOLEDO;10.9;13.1;17.0;19.5;24.2;30.4;34.5;33.9;28.2;21.5;14.8;11.3;21.6
Temperatura media de las máximas;1991-2020;VALENCIA/VALÈNCIA;13.2;14.4;17.3;19.7;23.5;28.3;31.6;31.6;27.0;22.3;16.6;13.6;21.6
Temperatura media de las máximas;1991-2020;VALLADOLID;8.1;11.0;14.8;16.9;21.3;26.7;30.2;29.8;25.0;18.9;12.2;8.8;18.6
Temperatura media de las máximas;1991-2020;ZAMORA;8.1;10.7;14.4;16.4;20.7;26.0;29.5;29.1;24.6;18.4;11.9;8.8;18.2
Temperatura media de las máximas;1991-2020;ZARAGOZA;9.9;11.9;15.8;18.3;22.8;28.0;31.3;30.9;25.8;20.3;13.6;10.1;19.9
