Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;1991-2020;A CORUÑA;4.6;4.3;5.7;6.7;9.0;11.5;13.2;13.4;11.9;9.7;6.9;5.3;8.5
Temperatura media de las mínimas;1991-2020;ALBACETE;0.7;1.5;3.8;6.1;9.7;13.9;16.9;17.0;13.4;9.3;4.5;1.7;8.2
Temperatura media de las mínimas;1991-2020;ALICANTE/ALACANT;4.7;5.2;7.1;9.1;12.3;16.2;19.1;19.5;16.5;12.8;8.4;5.7;11.4
Temperatura media de las mínimas;1991-2020;ALMERIA;4.2;4.9;6.8;8.6;11.8;15.6;18.7;19.0;15.7;12.0;7.7;5.3;10.9
Temperatura media de las mínimas;1991-2020;ARABA/ALAVA;1.3;1.1;2.9;4.5;7.5;10.6;12.5;12.8;10.3;7.7;4.2;1.8;6.4
Temperatura media de las mínimas;1991-2020;ASTURIAS;2.5;2.4;4.0;5.4;8.0;10.9;12.9;13.0;11.0;8.4;5.1;3.2;7.2
Temperatura media de las mínimas;1991-2020;AVILA;-0.8;-0.4;1.7;3.4;6.7;10.6;12.9;12.9;9.8;6.4;2.3;0.1;5.5
Temperatura media de las mínimas;1991-2020;BADAJOZ;3.5;4.2;6.6;8.5;11.8;15.6;17.9;18.1;15.4;11.9;7.3;4.7;10.5
Temperatura media de las mínimas;1991-2020;ILLES BALEARS;5.8;5.7;7.4;9.5;12.8;16.6;19.5;20.1;17.4;14.2;9.9;7.1;12.2
Temperatura media de las mínimas;1991-2020;BARCELONA;1.2;1.6;4.0;6.3;9.9;13.9;16.6;16.8;13.4;9.9;4.9;2.0;8.4
Temperatura media de las mínimas;1991-2020;BIZKAIA;3.9;3.6;5.2;6.6;9.5;12.3;14.3;14.7;12.4;10.1;6.8;4.7;8.7
Temperatura media de las mínimas;1991-2020;BURGOS;-0.3;-0.5;1.4;3.2;6.3;9.6;11.5;11.6;8.8;6.0;2.6;0.3;5.0
Temperatura media de las mínimas;1991-2020;CACERES;3.2;3.9;6.3;8.1;11.4;15.4;18.0;18.1;15.1;11.4;6.8;4.1;10.2
Temperatura media de las mínimas;1991-2020;CADIZ;6.5;7.1;9.1;10.6;13.4;16.7;19.0;19.5;17.2;14.3;10.1;7.9;12.6
Temperatura media de las mínimas;1991-2020;CANTABRIA;2.2;1.9;3.6;5.0;7.8;10.7;12.6;12.8;10.5;8.2;4.9;2.8;6.9
Temperatura media de las mínimas;1991-2020;CASTELLON/CASTELLÓ;2.8;3.0;5.0;6.9;10.3;14.2;17.0;17.4;14.1;10.7;6.3;3.7;9.3
Temperatura media de las mínimas;1991-2020;CEUTA;11.0;11.3;12.5;13.6;15.7;18.6;20.5;21.1;19.4;17.1;13.8;12.2;15.6
Temperatura media de las mínimas;1991-2020;CIUDAD REAL;1.0;1.8;4.3;6.6;10.4;14.9;18.0;17.8;13.9;9.7;4.7;2.0;8.8
Temperatura media de las mínimas;1991-2020;CORDOBA;3.1;3.9;6.2;8.3;11.7;15.7;18.4;18.6;15.4;11.6;6.8;4.3;10.3
Temperatura media de las mínimas;1991-2020;CUENCA;-0.6;-0.2;2.2;4.5;8.1;12.3;15.1;15.2;11.5;7.6;3.0;0.4;6.6
Temperatura media de las mínimas;1991-2020;GIPUZKOA;3.6;3.4;5.1;6.5;9.4;12.3;14.2;14.6;12.3;10.1;6.6;4.3;8.5
Temperatura media de las mínimas;1991-2020;GIRONA;1.0;1.2;3.6;5.8;9.4;13.3;15.9;16.0;12.5;9.3;4.6;1.7;7.9
Temperatura media de las mínimas;1991-2020;GRANADA;0.9;1.7;3.9;5.8;9.2;13.3;16.3;16.3;12.7;9.0;4.4;2.1;8.0
Temperatura media de las mínimas;1991-2020;GUADALAJARA;-1.5;-1.3;1.0;3.2;6.8;10.8;13.4;13.4;9.7;6.2;1.9;-0.6;5.2
Temperatura media de las mínimas;1991-2020;HUELVA;5.3;5.9;8.0;9.6;12.5;15.8;17.9;18.3;16.0;13.1;8.9;6.6;11.5
Temperatura media de las mínimas;1991-2020;HUESCA;-1.1;-0.8;1.9;4.2;7.9;11.7;14.1;14.2;10.6;7.1;2.4;-0.4;6.0
Temperatura media de las mínimas;1991-2020;JAEN;2.4;3.2;5.6;7.8;11.3;15.6;18.7;18.6;15.0;10.8;6.1;3.5;9.9
Temperatura media de las mínimas;1991-2020;LA RIOJA;0.2;0.4;2.4;4.2;7.4;10.9;12.8;13.0;10.2;7.1;3.3;0.8;6.1
Temperatura media de las mínimas;1991-2020;LAS PALMAS;12.7;12.8;13.5;14.3;15.6;17.5;19.4;20.2;19.3;18.0;15.9;14.0;16.1
Temperatura media de las mínimas;1991-2020;LEON;-1.4;-1.4;0.6;2.4;5.4;8.6;10.4;10.1;7.6;5.0;1.5;-0.7;4.0
Temperatura media de las mínimas;1991-2020;LLEIDA;-1.7;-1.4;1.3;3.7;7.4;11.4;13.9;13.9;10.2;6.6;1.8;-1.0;5.5
Temperatura media de las mínimas;1991-2020;LUGO;2.3;2.0;3.7;4.8;7.4;10.3;12.1;12.2;10.4;8.0;4.8;2.9;6.7
Temperatura media de las mínimas;1991-2020;MADRID;0.4;0.9;3.4;5.5;9.2;13.6;16.4;16.2;12.4;8.5;3.9;1.2;7.6
Temperatura media de las mínimas;1991-2020;MALAGA;5.2;5.8;7.7;9.4;12.2;16.1;18.9;19.4;16.3;12.8;8.6;6.5;11.6
