Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las mínimas;A CORUÑA;4.4;7.4;5.2;7.2;8.1;11.4;13.3;13.3;13.0;10.0;5.7;7.6;8.9
Temperatura media de las mínimas;ALBACETE;0.2;4.1;3.2;6.5;10.4;14.2;17.0;17.9;14.4;9.8;3.2;3.5;8.7
Temperatura media de las mínimas;ALICANTE/ALACANT;4.6;7.6;6.8;9.5;12.9;16.8;19.1;20.7;18.0;13.2;7.8;7.5;12.0
Temperatura media de las mínimas;ALMERIA;4.8;7.0;6.9;9.4;12.4;16.1;19.0;20.2;16.8;13.1;6.8;6.9;11.6
Temperatura media de las mínimas;ARABA/ALAVA;0.8;4.8;3.4;4.3;6.4;10.9;12.4;12.5;12.3;6.2;3.7;2.7;6.7
Temperatura media de las mínimas;ASTURIAS;1.7;5.4;4.1;5.4;7.3;11.4;12.9;13.4;12.2;8.4;3.9;5.0;7.6
Temperatura media de las mínimas;AVILA;-2.2;2.9;1.1;4.6;6.6;10.2;12.3;13.6;10.5;6.3;0.4;2.5;5.7
Temperatura media de las mínimas;BADAJOZ;2.9;7.0;6.3;10.1;10.8;14.7;16.8;18.0;15.8;12.2;5.1;6.3;10.5
Temperatura media de las mínimas;ILLES BALEARS;5.9;7.6;7.3;9.0;12.8;17.9;19.6;20.8;19.7;13.5;10.4;7.8;12.7
Temperatura media de las mínimas;BARCELONA;0.5;5.0;3.8;5.6;9.9;14.7;16.5;17.0;15.1;9.8;4.2;2.7;8.7
Temperatura media de las mínimas;BIZKAIA;3.8;7.4;5.8;6.5;8.2;12.8;14.0;14.2;14.3;9.4;6.3;6.2;9.1
Temperatura media de las mínimas;BURGOS;-1.4;3.1;1.6;3.2;5.8;9.9;11.0;11.5;10.9;4.6;1.3;1.9;5.3
Temperatura media de las mínimas;CACERES;2.3;6.9;6.2;9.3;10.7;14.6;16.8;17.9;15.1;11.7;4.9;6.1;10.2
Temperatura media de las mínimas;CADIZ;6.1;9.6;9.1;11.9;13.6;16.3;18.8;19.9;17.9;15.2;8.3;9.5;13.0
Temperatura media de las mínimas;CANTABRIA;1.1;5.0;3.7;4.7;6.8;11.5;12.5;12.3;12.1;7.2;4.1;4.0;7.1
Temperatura media de las mínimas;CASTELLON/CASTELLÓ;2.3;5.4;4.5;6.4;10.5;14.6;16.8;17.7;15.3;10.5;5.8;5.4;9.6
Temperatura media de las mínimas;CEUTA;10.6;12.7;12.6;14.7;16.5;19.3;20.9;21.7;20.4;18.4;13.0;13.2;16.2
Temperatura media de las mínimas;CIUDAD REAL;0.8;4.9;4.0;8.0;10.5;15.0;18.1;18.9;15.1;10.3;3.4;3.6;9.4
Temperatura media de las mínimas;CORDOBA;2.9;6.5;6.3;9.8;11.7;15.4;18.2;19.4;16.6;12.5;5.0;5.4;10.8
Temperatura media de las mínimas;CUENCA;-1.7;3.3;2.2;5.4;8.7;13.3;15.2;16.3;12.5;7.6;1.9;2.0;7.2
Temperatura media de las mínimas;GIPUZKOA;3.2;7.4;5.8;6.4;7.9;12.7;13.8;13.9;14.1;9.1;5.7;5.7;8.8
Temperatura media de las mínimas;GIRONA;-0.1;4.6;3.5;5.0;9.4;14.7;16.2;16.2;14.8;9.2;4.4;2.0;8.3
Temperatura media de las mínimas;GRANADA;1.5;4.3;4.0;6.6;9.8;13.2;16.8;17.5;14.1;10.0;3.0;3.9;8.7
Temperatura media de las mínimas;GUADALAJARA;-2.3;2.4;1.2;4.2;7.6;11.8;13.4;14.4;11.2;5.7;0.6;1.5;6.0
Temperatura media de las mínimas;HUELVA;4.8;8.6;8.5;11.4;12.1;14.7;17.3;18.6;16.8;13.8;7.4;8.2;11.8
Temperatura media de las mínimas;HUESCA;-2.3;2.9;1.7;3.8;7.5;12.2;14.1;14.2;12.4;6.1;1.2;1.0;6.2
Temperatura media de las mínimas;JAEN;2.3;6.0;5.6;9.0;11.7;15.5;19.2;19.7;16.3;11.9;4.7;5.1;10.6
Temperatura media de las mínimas;LA RIOJA;-0.5;3.4;2.5;4.1;6.9;11.0;12.7;12.7;11.8;5.8;2.7;1.9;6.2
Temperatura media de las mínimas;LAS PALMAS;13.1;12.8;13.7;14.8;16.0;17.2;19.6;20.1;19.8;18.1;14.8;14.1;16.2
Temperatura media de las mínimas;LEON;-2.3;1.8;0.4;3.0;4.9;8.6;9.6;9.7;9.1;4.8;-0.3;1.7;4.2
Temperatura media de las mínimas;LLEIDA;-2.5;2.4;1.3;3.3;7.2;11.7;13.7;14.2;12.1;5.7;0.5;-0.2;5.8
