Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;305.217
250 Diabetes mellitus;Ambos sexos;Andalucía;53.646
250 Diabetes mellitus;Ambos sexos;Almería;5.030
250 Diabetes mellitus;Ambos sexos;Cádiz;10.350
250 Diabetes mellitus;Ambos sexos;Córdoba;3.887
250 Diabetes mellitus;Ambos sexos;Granada;6.358
250 Diabetes mellitus;Ambos sexos;Huelva;3.995
250 Diabetes mellitus;Ambos sexos;Jaén;3.243
250 Diabetes mellitus;Ambos sexos;Málaga;10.646
250 Diabetes mellitus;Ambos sexos;Sevilla;10.138
250 Diabetes mellitus;Ambos sexos;Aragón;9.976
250 Diabetes mellitus;Ambos sexos;Huesca;1.922
250 Diabetes mellitus;Ambos sexos;Teruel;841
250 Diabetes mellitus;Ambos sexos;Zaragoza;7.213
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);10.819
250 Diabetes mellitus;Ambos sexos;Balears (Illes);6.552
250 Diabetes mellitus;Ambos sexos;Canarias;18.479
250 Diabetes mellitus;Ambos sexos;Palmas (Las);8.360
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;10.119
250 Diabetes mellitus;Ambos sexos;Cantabria;3.913
250 Diabetes mellitus;Ambos sexos;Castilla y León;22.149
250 Diabetes mellitus;Ambos sexos;Avila;929
250 Diabetes mellitus;Ambos sexos;Burgos;3.335
250 Diabetes mellitus;Ambos sexos;León;3.674
250 Diabetes mellitus;Ambos sexos;Palencia;1.103
250 Diabetes mellitus;Ambos sexos;Salamanca;3.738
250 Diabetes mellitus;Ambos sexos;Segovia;909
250 Diabetes mellitus;Ambos sexos;Soria;612
250 Diabetes mellitus;Ambos sexos;Valladolid;5.426
250 Diabetes mellitus;Ambos sexos;Zamora;2.423
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;9.534
250 Diabetes mellitus;Ambos sexos;Albacete;2.249
250 Diabetes mellitus;Ambos sexos;Ciudad Real;3.197
250 Diabetes mellitus;Ambos sexos;Cuenca;974
250 Diabetes mellitus;Ambos sexos;Guadalajara;782
250 Diabetes mellitus;Ambos sexos;Toledo;2.332
250 Diabetes mellitus;Ambos sexos;Cataluña;50.085
250 Diabetes mellitus;Ambos sexos;Barcelona;39.872
250 Diabetes mellitus;Ambos sexos;Girona;3.149
250 Diabetes mellitus;Ambos sexos;Lleida;2.042
250 Diabetes mellitus;Ambos sexos;Tarragona;5.023
250 Diabetes mellitus;Ambos sexos;Comunitat Valenciana;28.045
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;10.283
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;3.805
250 Diabetes mellitus;Ambos sexos;Valencia/València;13.958
250 Diabetes mellitus;Ambos sexos;Extremadura;6.736
250 Diabetes mellitus;Ambos sexos;Badajoz;4.702
250 Diabetes mellitus;Ambos sexos;Cáceres;2.035
250 Diabetes mellitus;Ambos sexos;Galicia;18.276
250 Diabetes mellitus;Ambos sexos;Coruña (A);7.304
250 Diabetes mellitus;Ambos sexos;Lugo;3.121
250 Diabetes mellitus;Ambos sexos;Ourense;2.742
250 Diabetes mellitus;Ambos sexos;Pontevedra;5.109
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);32.288
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);11.655
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);5.451
250 Diabetes mellitus;Ambos sexos;País Vasco;13.530
250 Diabetes mellitus;Ambos sexos;Alava;2.042
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;5.633
250 Diabetes mellitus;Ambos sexos;Vizcaya;5.855
250 Diabetes mellitus;Ambos sexos;Rioja (La);2.366
250 Diabetes mellitus;Ambos sexos;Ceuta;771
250 Diabetes mellitus;Ambos sexos;Melilla;944
250 Diabetes mellitus;Varones;Total;170.077
250 Diabetes mellitus;Varones;Andalucía;30.904
250 Diabetes mellitus;Varones;Almería;2.826
250 Diabetes mellitus;Varones;Cádiz;5.584
250 Diabetes mellitus;Varones;Córdoba;2.136
250 Diabetes mellitus;Varones;Granada;3.697
250 Diabetes mellitus;Varones;Huelva;2.393
250 Diabetes mellitus;Varones;Jaén;1.840
250 Diabetes mellitus;Varones;Málaga;6.448
250 Diabetes mellitus;Varones;Sevilla;5.980
250 Diabetes mellitus;Varones;Aragón;5.236
250 Diabetes mellitus;Varones;Huesca;1.161
250 Diabetes mellitus;Varones;Teruel;430
250 Diabetes mellitus;Varones;Zaragoza;3.644
250 Diabetes mellitus;Varones;Asturias (Principado de);5.269
