Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Ambos sexos;TOTAL NACIONAL;29.994
249-250 Diabetes mellitus;Ambos sexos;ANDALUCÍA;4.373
249-250 Diabetes mellitus;Ambos sexos;Almería;314
249-250 Diabetes mellitus;Ambos sexos;Cádiz;740
249-250 Diabetes mellitus;Ambos sexos;Córdoba;341
249-250 Diabetes mellitus;Ambos sexos;Granada;599
249-250 Diabetes mellitus;Ambos sexos;Huelva;282
249-250 Diabetes mellitus;Ambos sexos;Jaén;345
249-250 Diabetes mellitus;Ambos sexos;Málaga;659
249-250 Diabetes mellitus;Ambos sexos;Sevilla;1.092
249-250 Diabetes mellitus;Ambos sexos;ARAGÓN;867
249-250 Diabetes mellitus;Ambos sexos;Huesca;151
249-250 Diabetes mellitus;Ambos sexos;Teruel;74
249-250 Diabetes mellitus;Ambos sexos;Zaragoza;641
249-250 Diabetes mellitus;Ambos sexos;ASTURIAS, PRINCIPADO DE;923
249-250 Diabetes mellitus;Ambos sexos;BALEARS, ILLES;784
249-250 Diabetes mellitus;Ambos sexos;CANARIAS;1.358
249-250 Diabetes mellitus;Ambos sexos;Palmas, Las;682
249-250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;676
249-250 Diabetes mellitus;Ambos sexos;CANTABRIA;314
249-250 Diabetes mellitus;Ambos sexos;CASTILLA Y LEÓN;2.093
249-250 Diabetes mellitus;Ambos sexos;Ávila;118
249-250 Diabetes mellitus;Ambos sexos;Burgos;349
249-250 Diabetes mellitus;Ambos sexos;León;278
249-250 Diabetes mellitus;Ambos sexos;Palencia;146
249-250 Diabetes mellitus;Ambos sexos;Salamanca;432
249-250 Diabetes mellitus;Ambos sexos;Segovia;83
249-250 Diabetes mellitus;Ambos sexos;Soria;56
249-250 Diabetes mellitus;Ambos sexos;Valladolid;447
249-250 Diabetes mellitus;Ambos sexos;Zamora;182
249-250 Diabetes mellitus;Ambos sexos;CASTILLA - LA MANCHA;1.103
249-250 Diabetes mellitus;Ambos sexos;Albacete;197
249-250 Diabetes mellitus;Ambos sexos;Ciudad Real;340
249-250 Diabetes mellitus;Ambos sexos;Cuenca;141
249-250 Diabetes mellitus;Ambos sexos;Guadalajara;152
249-250 Diabetes mellitus;Ambos sexos;Toledo;272
249-250 Diabetes mellitus;Ambos sexos;CATALUÑA;5.290
249-250 Diabetes mellitus;Ambos sexos;Barcelona;4.201
249-250 Diabetes mellitus;Ambos sexos;Girona;361
249-250 Diabetes mellitus;Ambos sexos;Lleida;227
249-250 Diabetes mellitus;Ambos sexos;Tarragona;501
249-250 Diabetes mellitus;Ambos sexos;COMUNITAT VALENCIANA;3.603
249-250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;1.379
249-250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;378
249-250 Diabetes mellitus;Ambos sexos;Valencia/València;1.845
249-250 Diabetes mellitus;Ambos sexos;EXTREMADURA;703
249-250 Diabetes mellitus;Ambos sexos;Badajoz;498
249-250 Diabetes mellitus;Ambos sexos;Cáceres;205
249-250 Diabetes mellitus;Ambos sexos;GALICIA;1.655
249-250 Diabetes mellitus;Ambos sexos;Coruña, A;635
249-250 Diabetes mellitus;Ambos sexos;Lugo;281
249-250 Diabetes mellitus;Ambos sexos;Ourense;218
249-250 Diabetes mellitus;Ambos sexos;Pontevedra;520
249-250 Diabetes mellitus;Ambos sexos;MADRID, COMUNIDAD DE;3.213
249-250 Diabetes mellitus;Ambos sexos;MURCIA, REGIÓN DE;1.221
249-250 Diabetes mellitus;Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;423
249-250 Diabetes mellitus;Ambos sexos;PAÍS VASCO;1.573
249-250 Diabetes mellitus;Ambos sexos;Araba/Álava;229
249-250 Diabetes mellitus;Ambos sexos;Bizkaia;621
249-250 Diabetes mellitus;Ambos sexos;Gipuzkoa;723
249-250 Diabetes mellitus;Ambos sexos;RIOJA, LA;308
249-250 Diabetes mellitus;Ambos sexos;Ceuta;110
249-250 Diabetes mellitus;Ambos sexos;Melilla;81
249-250 Diabetes mellitus;Hombres;TOTAL NACIONAL;16.808
249-250 Diabetes mellitus;Hombres;ANDALUCÍA;2.531
249-250 Diabetes mellitus;Hombres;Almería;190
249-250 Diabetes mellitus;Hombres;Cádiz;378
249-250 Diabetes mellitus;Hombres;Córdoba;200
249-250 Diabetes mellitus;Hombres;Granada;342
249-250 Diabetes mellitus;Hombres;Huelva;183
249-250 Diabetes mellitus;Hombres;Jaén;201
249-250 Diabetes mellitus;Hombres;Málaga;417
249-250 Diabetes mellitus;Hombres;Sevilla;619
249-250 Diabetes mellitus;Hombres;ARAGÓN;492
249-250 Diabetes mellitus;Hombres;Huesca;86
249-250 Diabetes mellitus;Hombres;Teruel;46
249-250 Diabetes mellitus;Hombres;Zaragoza;360
249-250 Diabetes mellitus;Hombres;ASTURIAS, PRINCIPADO DE;492
249-250 Diabetes mellitus;Hombres;BALEARS, ILLES;460
249-250 Diabetes mellitus;Hombres;CANARIAS;747
249-250 Diabetes mellitus;Hombres;Palmas, Las;352
249-250 Diabetes mellitus;Hombres;Santa Cruz de Tenerife;395
249-250 Diabetes mellitus;Hombres;CANTABRIA;168
249-250 Diabetes mellitus;Hombres;CASTILLA Y LEÓN;1.081
249-250 Diabetes mellitus;Hombres;Ávila;54
249-250 Diabetes mellitus;Hombres;Burgos;164
249-250 Diabetes mellitus;Hombres;León;140
249-250 Diabetes mellitus;Hombres;Palencia;71
249-250 Diabetes mellitus;Hombres;Salamanca;223
249-250 Diabetes mellitus;Hombres;Segovia;46
249-250 Diabetes mellitus;Hombres;Soria;30
249-250 Diabetes mellitus;Hombres;Valladolid;255
249-250 Diabetes mellitus;Hombres;Zamora;97
249-250 Diabetes mellitus;Hombres;CASTILLA - LA MANCHA;624
249-250 Diabetes mellitus;Hombres;Albacete;115
249-250 Diabetes mellitus;Hombres;Ciudad Real;195
249-250 Diabetes mellitus;Hombres;Cuenca;87
249-250 Diabetes mellitus;Hombres;Guadalajara;91
249-250 Diabetes mellitus;Hombres;Toledo;136
249-250 Diabetes mellitus;Hombres;CATALUÑA;2.930
249-250 Diabetes mellitus;Hombres;Barcelona;2.316
249-250 Diabetes mellitus;Hombres;Girona;221
249-250 Diabetes mellitus;Hombres;Lleida;123
249-250 Diabetes mellitus;Hombres;Tarragona;269
249-250 Diabetes mellitus;Hombres;COMUNITAT VALENCIANA;2.066
249-250 Diabetes mellitus;Hombres;Alicante/Alacant;810
249-250 Diabetes mellitus;Hombres;Castellón/Castelló;223
249-250 Diabetes mellitus;Hombres;Valencia/València;1.033
249-250 Diabetes mellitus;Hombres;EXTREMADURA;396
249-250 Diabetes mellitus;Hombres;Badajoz;272
249-250 Diabetes mellitus;Hombres;Cáceres;124
249-250 Diabetes mellitus;Hombres;GALICIA;858
249-250 Diabetes mellitus;Hombres;Coruña, A;341
249-250 Diabetes mellitus;Hombres;Lugo;166
249-250 Diabetes mellitus;Hombres;Ourense;106
249-250 Diabetes mellitus;Hombres;Pontevedra;245
249-250 Diabetes mellitus;Hombres;MADRID, COMUNIDAD DE;1.829
249-250 Diabetes mellitus;Hombres;MURCIA, REGIÓN DE;706
249-250 Diabetes mellitus;Hombres;NAVARRA, COMUNIDAD FORAL DE;255
249-250 Diabetes mellitus;Hombres;PAÍS VASCO;908
249-250 Diabetes mellitus;Hombres;Araba/Álava;128
249-250 Diabetes mellitus;Hombres;Bizkaia;351
249-250 Diabetes mellitus;Hombres;Gipuzkoa;429
249-250 Diabetes mellitus;Hombres;RIOJA, LA;154
249-250 Diabetes mellitus;Hombres;Ceuta;64
249-250 Diabetes mellitus;Hombres;Melilla;45
249-250 Diabetes mellitus;Mujeres;TOTAL NACIONAL;13.186
249-250 Diabetes mellitus;Mujeres;ANDALUCÍA;1.842
249-250 Diabetes mellitus;Mujeres;Almería;124
249-250 Diabetes mellitus;Mujeres;Cádiz;362
249-250 Diabetes mellitus;Mujeres;Córdoba;141
249-250 Diabetes mellitus;Mujeres;Granada;256
249-250 Diabetes mellitus;Mujeres;Huelva;99
249-250 Diabetes mellitus;Mujeres;Jaén;144
249-250 Diabetes mellitus;Mujeres;Málaga;242
249-250 Diabetes mellitus;Mujeres;Sevilla;473
249-250 Diabetes mellitus;Mujeres;ARAGÓN;375
249-250 Diabetes mellitus;Mujeres;Huesca;65
249-250 Diabetes mellitus;Mujeres;Teruel;28
249-250 Diabetes mellitus;Mujeres;Zaragoza;281
249-250 Diabetes mellitus;Mujeres;ASTURIAS, PRINCIPADO DE;431
249-250 Diabetes mellitus;Mujeres;BALEARS, ILLES;324
249-250 Diabetes mellitus;Mujeres;CANARIAS;611
249-250 Diabetes mellitus;Mujeres;Palmas, Las;330
249-250 Diabetes mellitus;Mujeres;Santa Cruz de Tenerife;281
249-250 Diabetes mellitus;Mujeres;CANTABRIA;146
249-250 Diabetes mellitus;Mujeres;CASTILLA Y LEÓN;1.012
249-250 Diabetes mellitus;Mujeres;Ávila;64
249-250 Diabetes mellitus;Mujeres;Burgos;185
249-250 Diabetes mellitus;Mujeres;León;138
249-250 Diabetes mellitus;Mujeres;Palencia;75
249-250 Diabetes mellitus;Mujeres;Salamanca;209
249-250 Diabetes mellitus;Mujeres;Segovia;37
249-250 Diabetes mellitus;Mujeres;Soria;26
249-250 Diabetes mellitus;Mujeres;Valladolid;192
249-250 Diabetes mellitus;Mujeres;Zamora;85
249-250 Diabetes mellitus;Mujeres;CASTILLA - LA MANCHA;478
249-250 Diabetes mellitus;Mujeres;Albacete;82
249-250 Diabetes mellitus;Mujeres;Ciudad Real;145
249-250 Diabetes mellitus;Mujeres;Cuenca;54
249-250 Diabetes mellitus;Mujeres;Guadalajara;61
249-250 Diabetes mellitus;Mujeres;Toledo;136
249-250 Diabetes mellitus;Mujeres;CATALUÑA;2.360
249-250 Diabetes mellitus;Mujeres;Barcelona;1.885
249-250 Diabetes mellitus;Mujeres;Girona;140
249-250 Diabetes mellitus;Mujeres;Lleida;103
249-250 Diabetes mellitus;Mujeres;Tarragona;232
249-250 Diabetes mellitus;Mujeres;COMUNITAT VALENCIANA;1.537
249-250 Diabetes mellitus;Mujeres;Alicante/Alacant;569
249-250 Diabetes mellitus;Mujeres;Castellón/Castelló;155
249-250 Diabetes mellitus;Mujeres;Valencia/València;813
249-250 Diabetes mellitus;Mujeres;EXTREMADURA;307
249-250 Diabetes mellitus;Mujeres;Badajoz;226
249-250 Diabetes mellitus;Mujeres;Cáceres;81
249-250 Diabetes mellitus;Mujeres;GALICIA;796
249-250 Diabetes mellitus;Mujeres;Coruña, A;294
249-250 Diabetes mellitus;Mujeres;Lugo;115
249-250 Diabetes mellitus;Mujeres;Ourense;112
249-250 Diabetes mellitus;Mujeres;Pontevedra;275
249-250 Diabetes mellitus;Mujeres;MADRID, COMUNIDAD DE;1.384
249-250 Diabetes mellitus;Mujeres;MURCIA, REGIÓN DE;514
249-250 Diabetes mellitus;Mujeres;NAVARRA, COMUNIDAD FORAL DE;168
249-250 Diabetes mellitus;Mujeres;PAÍS VASCO;665
249-250 Diabetes mellitus;Mujeres;Araba/Álava;101
249-250 Diabetes mellitus;Mujeres;Bizkaia;270
249-250 Diabetes mellitus;Mujeres;Gipuzkoa;294
249-250 Diabetes mellitus;Mujeres;RIOJA, LA;154
249-250 Diabetes mellitus;Mujeres;Ceuta;46
249-250 Diabetes mellitus;Mujeres;Melilla;36
