Diagnóstico principal (CIE10MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;;;28.805
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;;4.088
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;439
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;681
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;301
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;413
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;254
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;310
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;766
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;924
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;;872
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;103
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;60
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;709
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;03 Asturias, Principado de;;693
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;04 Balears, Illes;;849
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;;1.423
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;826
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;597
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;06 Cantabria;;407
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;;1.905
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;87
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;241
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;24 León;386
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;107
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;335
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;84
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;42 Soria;59
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;47 Valladolid;430
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;07 Castilla y León;49 Zamora;176
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;;1.004
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;02 Albacete;252
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;282
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;16 Cuenca;96
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;143
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;08 Castilla - La Mancha;45 Toledo;232
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;;5.494
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;08 Barcelona;4.324
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;17 Girona;417
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;25 Lleida;210
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;09 Cataluña;43 Tarragona;542
0401 Diabetes mellitus E08-E13;Ambos sexos;Total Nacional;10 Comunitat Valenciana;;3.286
