Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Total;361.945
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Andalucía;64.697
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Almería;4.818
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cádiz;14.995
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Córdoba;4.214
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Granada;10.208
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huelva;5.241
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Jaén;3.475
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Málaga;10.076
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Sevilla;11.670
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Aragón;11.321
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huesca;2.173
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Teruel;151
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zaragoza;8.998
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Asturias (Principado de);13.493
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Balears (Illes);10.370
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Canarias;25.003
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palmas (Las);7.275
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Santa Cruz de Tenerife;17.728
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cantabria;6.399
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla y León;22.012
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Avila;1.723
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Burgos;2.912
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;León;4.359
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palencia;1.921
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Salamanca;5.116
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Segovia;499
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Soria;706
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Valladolid;3.884
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zamora;892
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla - La Mancha;10.187
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Albacete;3.317
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ciudad Real;2.218
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cuenca;462
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Guadalajara;1.572
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Toledo;2.617
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cataluña;69.758
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Barcelona;56.148
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Girona;5.306
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Lleida;4.824
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Tarragona;3.480
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Comunidad Valenciana;31.037
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Alicante;10.095
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castellón de la Plana;6.106
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Valencia;14.836
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Extremadura;8.151
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Badajoz;5.412
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cáceres;2.739
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Galicia;25.065
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Coruña (A);11.601
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Lugo;4.002
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ourense;3.297
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Pontevedra;6.165
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Madrid (Comunidad de);33.026
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Murcia (Región de);7.948
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Navarra (Comun. Foral de);5.854
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;País Vasco;11.909
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Alava;1.877
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Guipúzcoa;3.828
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Vizcaya;6.205
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Rioja (La);2.753
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ceuta;1.759
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Melilla;1.204
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Total;170.863
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Andalucía;30.432
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Almería;2.681
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cádiz;6.183
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Córdoba;1.846
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Granada;5.213
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huelva;2.205
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Jaén;1.976
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Málaga;5.290
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Sevilla;5.039
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Aragón;4.400
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huesca;1.063
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Teruel;79
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zaragoza;3.258
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Asturias (Principado de);4.472
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Balears (Illes);5.647
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Canarias;10.496
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palmas (Las);2.567
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Santa Cruz de Tenerife;7.929
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cantabria;3.051
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla y León;10.215
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Avila;848
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Burgos;1.350
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;León;1.954
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palencia;913
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Salamanca;2.237
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Segovia;257
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Soria;463
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valladolid;1.926
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zamora;266
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla - La Mancha;5.406
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Albacete;1.568
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ciudad Real;1.116
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cuenca;84
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guadalajara;1.456
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Toledo;1.183
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cataluña;33.887
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Barcelona;28.638
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Girona;2.214
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lleida;2.380
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Tarragona;655
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Comunidad Valenciana;14.561
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alicante;6.347
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castellón de la Plana;1.596
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valencia;6.618
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Extremadura;3.421
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Badajoz;2.239
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cáceres;1.182
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Galicia;11.615
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Coruña (A);5.443
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lugo;2.024
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ourense;1.078
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Pontevedra;3.069
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Madrid (Comunidad de);18.027
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Murcia (Región de);3.128
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Navarra (Comun. Foral de);2.823
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;País Vasco;6.300
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alava;941
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guipúzcoa;2.038
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Vizcaya;3.321
