Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;357.150
250 Diabetes mellitus;Ambos sexos;Andalucía;61.282
250 Diabetes mellitus;Ambos sexos;Almería;3.071
250 Diabetes mellitus;Ambos sexos;Cádiz;11.104
250 Diabetes mellitus;Ambos sexos;Córdoba;4.965
250 Diabetes mellitus;Ambos sexos;Granada;8.628
250 Diabetes mellitus;Ambos sexos;Huelva;3.329
250 Diabetes mellitus;Ambos sexos;Jaén;3.435
250 Diabetes mellitus;Ambos sexos;Málaga;11.316
250 Diabetes mellitus;Ambos sexos;Sevilla;15.434
250 Diabetes mellitus;Ambos sexos;Aragón;14.157
250 Diabetes mellitus;Ambos sexos;Huesca;1.986
250 Diabetes mellitus;Ambos sexos;Teruel;823
250 Diabetes mellitus;Ambos sexos;Zaragoza;11.348
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);11.909
250 Diabetes mellitus;Ambos sexos;Balears (Illes);9.616
250 Diabetes mellitus;Ambos sexos;Canarias;24.141
250 Diabetes mellitus;Ambos sexos;Palmas (Las);10.642
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;13.499
250 Diabetes mellitus;Ambos sexos;Cantabria;4.548
250 Diabetes mellitus;Ambos sexos;Castilla y León;24.704
250 Diabetes mellitus;Ambos sexos;Avila;3.146
250 Diabetes mellitus;Ambos sexos;Burgos;4.121
250 Diabetes mellitus;Ambos sexos;León;4.313
250 Diabetes mellitus;Ambos sexos;Palencia;831
250 Diabetes mellitus;Ambos sexos;Salamanca;4.274
250 Diabetes mellitus;Ambos sexos;Segovia;719
250 Diabetes mellitus;Ambos sexos;Soria;815
250 Diabetes mellitus;Ambos sexos;Valladolid;4.688
250 Diabetes mellitus;Ambos sexos;Zamora;1.797
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;10.527
250 Diabetes mellitus;Ambos sexos;Albacete;1.926
250 Diabetes mellitus;Ambos sexos;Ciudad Real;2.840
250 Diabetes mellitus;Ambos sexos;Cuenca;1.913
250 Diabetes mellitus;Ambos sexos;Guadalajara;927
250 Diabetes mellitus;Ambos sexos;Toledo;2.921
250 Diabetes mellitus;Ambos sexos;Cataluña;68.959
