Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media de las máximas;A CORUÑA;10.8;13.8;16.1;17.7;18.0;20.9;22.2;23.8;22.4;19.7;14.1;14.3;17.8
Temperatura media de las máximas;ALBACETE;8.8;14.5;15.1;17.3;24.3;28.7;34.3;33.8;27.1;22.3;12.7;12.9;21.0
Temperatura media de las máximas;ALICANTE/ALACANT;14.4;17.4;16.7;18.4;24.0;27.6;32.0;32.2;28.4;23.6;16.8;16.9;22.4
Temperatura media de las máximas;ALMERIA;14.2;16.7;16.8;18.5;24.1;28.0;32.6;32.3;27.9;23.5;15.9;16.1;22.2
Temperatura media de las máximas;ARABA/ALAVA;7.7;12.6;13.0;14.5;19.3;22.9;25.1;25.9;23.5;18.8;9.8;10.0;16.9
Temperatura media de las máximas;ASTURIAS;8.9;12.9;13.6;15.0;17.1;19.0;22.1;23.1;21.2;18.7;11.1;12.9;16.3
Temperatura media de las máximas;AVILA;6.9;11.4;13.3;15.0;20.1;24.9;29.0;30.5;22.5;19.4;9.5;11.0;17.8
Temperatura media de las máximas;BADAJOZ;11.6;15.8;19.2;21.1;26.2;30.5;34.3;35.2;28.5;25.3;15.7;15.3;23.2
Temperatura media de las máximas;ILLES BALEARS;14.4;17.2;16.8;18.7;23.2;28.4;31.2;31.4;28.8;23.1;16.4;16.3;22.2
Temperatura media de las máximas;BARCELONA;9.4;14.3;15.8;16.4;21.6;27.4;30.1;29.6;25.9;20.5;13.4;13.0;19.8
Temperatura media de las máximas;BIZKAIA;10.3;15.5;15.1;16.1;19.2;22.0;23.1;23.7;24.2;20.4;12.0;14.6;18.0
Temperatura media de las máximas;BURGOS;6.1;11.4;13.1;14.6;19.2;23.4;26.8;28.2;22.8;18.8;9.1;10.4;17.0
Temperatura media de las máximas;CACERES;10.9;14.9;18.0;20.0;24.7;29.4;33.4;34.6;27.1;23.8;15.0;14.4;22.2
Temperatura media de las máximas;CADIZ;14.4;17.3;19.2;21.3;26.1;28.1;32.0;32.7;29.3;25.9;18.3;17.4;23.5
Temperatura media de las máximas;CANTABRIA;8.8;13.5;13.5;14.6;17.0;20.3;22.0;22.9;21.9;18.9;10.8;13.2;16.4
Temperatura media de las máximas;CASTELLON/CASTELLÓ;11.6;14.8;14.9;15.5;21.3;25.5;28.8;28.4;25.1;21.2;14.4;15.1;19.7
Temperatura media de las máximas;CEUTA;15.8;16.5;17.7;19.5;23.1;25.9;29.0;29.0;26.9;23.7;18.4;17.1;21.9
Temperatura media de las máximas;CIUDAD REAL;10.0;15.6;17.8;19.4;25.7;30.6;35.0;35.7;28.3;24.0;13.7;13.5;22.4
Temperatura media de las máximas;CORDOBA;12.3;16.5;19.8;21.3;27.2;31.3;35.9;36.2;29.9;26.0;16.1;15.6;24.0
Temperatura media de las máximas;CUENCA;7.1;13.4;15.3;16.7;23.2;27.5;32.7;33.1;25.8;21.1;11.8;12.1;20.0
Temperatura media de las máximas;GIPUZKOA;9.0;14.6;14.0;15.4;18.7;21.8;22.8;23.6;23.5;19.3;10.8;13.2;17.2
Temperatura media de las máximas;GIRONA;10.5;14.3;15.1;16.2;20.5;27.0;29.2;28.5;25.4;20.7;13.6;13.5;19.5
Temperatura media de las máximas;GRANADA;10.9;15.2;16.1;17.7;23.6;27.6;33.4;32.7;27.0;22.6;12.8;13.6;21.1
Temperatura media de las máximas;GUADALAJARA;6.2;12.4;14.3;15.9;21.0;25.7;30.5;31.9;23.5;19.7;10.3;11.0;18.5
Temperatura media de las máximas;HUELVA;14.0;16.8;20.6;22.1;26.9;29.7;34.0;34.2;29.6;26.6;18.4;17.5;24.2
Temperatura media de las máximas;HUESCA;6.9;12.7;14.9;15.8;20.5;25.9;29.4;29.9;24.1;19.3;11.5;9.5;18.4
Temperatura media de las máximas;JAEN;11.4;16.2;18.3;20.0;26.4;30.7;35.6;35.6;29.4;24.6;13.9;14.3;23.0
Temperatura media de las máximas;LA RIOJA;7.5;12.2;12.8;14.2;20.0;23.9;27.1;28.3;22.9;18.7;9.6;9.3;17.2
Temperatura media de las máximas;LAS PALMAS;19.6;19.9;21.0;22.3;22.9;24.7;27.4;27.8;27.1;25.4;21.3;20.7;23.3
