Parámetro;periodo de referencia;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media;1991-2020;A CORUÑA;8.3;8.6;10.4;11.6;14.0;16.6;18.4;18.8;17.1;14.2;10.7;8.9;13.1
Temperatura media;1991-2020;ALBACETE;5.7;6.9;9.9;12.4;16.5;21.6;25.2;24.9;20.1;15.1;9.5;6.4;14.5
Temperatura media;1991-2020;ALICANTE/ALACANT;9.5;10.3;12.5;14.6;18.0;22.2;25.1;25.4;21.9;17.9;13.1;10.3;16.7
Temperatura media;1991-2020;ALMERIA;9.1;9.8;11.9;13.9;17.4;21.8;25.2;25.3;21.2;17.2;12.5;10.0;16.3
Temperatura media;1991-2020;ARABA/ALAVA;5.0;5.5;8.1;9.9;13.4;16.9;19.2;19.6;16.5;12.8;8.1;5.5;11.7
Temperatura media;1991-2020;ASTURIAS;6.5;6.9;8.9;10.2;12.9;15.8;17.8;18.3;16.1;13.1;9.1;7.1;11.9
Temperatura media;1991-2020;AVILA;3.6;4.6;7.3;9.3;13.1;18.0;21.2;21.0;16.8;12.0;6.9;4.5;11.5
Temperatura media;1991-2020;BADAJOZ;8.2;9.5;12.5;14.6;18.5;23.3;26.3;26.3;22.4;17.5;12.0;9.1;16.7
Temperatura media;1991-2020;ILLES BALEARS;10.2;10.3;12.3;14.6;18.1;22.2;25.1;25.6;22.3;18.8;14.1;11.3;17.1
Temperatura media;1991-2020;BARCELONA;6.0;7.0;9.8;12.1;15.9;20.1;23.0;23.0;19.1;15.1;9.7;6.6;14.0
Temperatura media;1991-2020;BIZKAIA;7.8;8.0;10.1;11.6;14.6;17.3;19.3;19.9;17.7;14.9;10.7;8.5;13.4
Temperatura media;1991-2020;BURGOS;3.6;4.4;7.2;9.1;12.7;16.8;19.4;19.6;15.9;11.7;6.8;4.3;11.0
Temperatura media;1991-2020;CACERES;7.5;8.9;11.9;14.0;17.9;22.8;26.1;25.9;21.9;16.7;11.2;8.2;16.1
Temperatura media;1991-2020;CADIZ;11.0;11.9;14.0;15.8;18.9;22.6;25.5;25.9;22.8;19.3;14.6;12.2;17.9
Temperatura media;1991-2020;CANTABRIA;6.2;6.5;8.6;10.1;12.9;15.9;17.8;18.3;16.1;13.1;9.1;6.9;11.8
Temperatura media;1991-2020;CASTELLON/CASTELLÓ;7.6;8.1;10.4;12.4;15.9;20.1;23.0;23.2;19.6;15.8;11.0;8.4;14.6
Temperatura media;1991-2020;CEUTA;13.6;13.8;15.1;16.5;18.8;22.0;24.2;24.6;22.5;19.7;16.4;14.5;18.5
Temperatura media;1991-2020;CIUDAD REAL;5.9;7.4;10.6;13.0;17.3;22.7;26.4;26.0;21.1;15.7;9.8;6.7;15.2
Temperatura media;1991-2020;CORDOBA;8.1;9.5;12.4;14.6;18.6;23.6;27.0;26.9;22.5;17.5;11.9;9.0;16.8
Temperatura media;1991-2020;CUENCA;4.5;5.6;8.6;10.9;15.1;20.1;23.7;23.4;18.6;13.6;8.0;5.2;13.1
Temperatura media;1991-2020;GIPUZKOA;7.2;7.4;9.7;11.3;14.4;17.3;19.2;19.8;17.4;14.6;10.2;7.8;13.0
Temperatura media;1991-2020;GIRONA;6.2;6.8;9.5;11.7;15.4;19.5;22.2;22.3;18.4;14.7;9.7;6.8;13.6
Temperatura media;1991-2020;GRANADA;6.1;7.2;9.8;11.9;15.9;20.8;24.5;24.2;19.5;14.9;9.6;7.1;14.3
Temperatura media;1991-2020;GUADALAJARA;3.4;4.5;7.4;9.7;13.7;18.7;22.0;21.8;17.1;12.2;6.8;4.1;11.8
Temperatura media;1991-2020;HUELVA;10.2;11.3;13.8;15.6;19.0;23.1;26.0;26.2;22.8;18.8;13.8;11.2;17.6
Temperatura media;1991-2020;HUESCA;3.7;4.9;8.1;10.4;14.5;18.9;21.8;21.6;17.2;12.8;7.3;4.1;12.1
Temperatura media;1991-2020;JAEN;7.2;8.5;11.5;13.8;18.0;23.2;26.8;26.5;21.7;16.6;10.9;8.1;16.1
Temperatura media;1991-2020;LA RIOJA;4.3;5.0;7.9;9.8;13.5;17.6;20.2;20.3;16.6;12.4;7.5;4.8;11.7
Temperatura media;1991-2020;LAS PALMAS;16.0;16.3;17.2;17.9;19.3;21.1;23.0;23.9;23.0;21.5;19.2;17.2;19.6
Temperatura media;1991-2020;LEON;2.9;3.9;6.6;8.5;11.9;16.0;18.4;18.2;14.9;10.7;6.0;3.5;10.1
Temperatura media;1991-2020;LLEIDA;3.2;4.5;7.7;10.1;14.1;18.6;21.5;21.3;17.0;12.5;6.9;3.6;11.8
Temperatura media;1991-2020;LUGO;6.2;6.7;8.9;10.2;13.0;16.1;18.2;18.5;16.3;12.9;8.7;6.6;11.9
Temperatura media;1991-2020;MADRID;5.0;6.2;9.3;11.6;15.7;20.9;24.3;23.9;19.3;14.0;8.6;5.7;13.7
Temperatura media;1991-2020;MALAGA;9.6;10.4;12.5;14.4;17.8;22.1;25.4;25.6;21.8;17.7;13.0;10.6;16.7
Temperatura media;1991-2020;MELILLA;13.6;14.0;15.4;17.0;19.7;22.9;25.8;26.5;23.9;20.7;17.0;14.6;19.3
Temperatura media;1991-2020;MURCIA;8.8;9.8;12.1;14.4;18.0;22.4;25.5;25.7;21.8;17.5;12.4;9.6;16.5
Temperatura media;1991-2020;NAVARRA;4.9;5.7;8.7;10.8;14.5;18.5;20.9;21.1;17.4;13.4;8.3;5.4;12.5
Temperatura media;1991-2020;OURENSE;5.1;5.9;8.5;10.1;13.1;16.7;19.2;19.3;16.5;12.4;7.9;5.8;11.7
