Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Temperatura media;A CORUÑA;7.6;10.6;10.6;12.4;13.1;16.1;17.7;18.6;17.7;14.8;9.9;11.0;13.3
Temperatura media;ALBACETE;4.5;9.3;9.2;11.9;17.4;21.5;25.6;25.8;20.8;16.0;7.9;8.2;14.8
Temperatura media;ALICANTE/ALACANT;9.5;12.5;11.8;13.9;18.5;22.2;25.5;26.5;23.2;18.4;12.3;12.2;17.2
Temperatura media;ALMERIA;9.5;11.8;11.8;14.0;18.3;22.0;25.8;26.2;22.4;18.3;11.4;11.5;16.9
Temperatura media;ARABA/ALAVA;4.2;8.7;8.2;9.4;12.9;16.9;18.7;19.2;17.9;12.5;6.7;6.3;11.8
Temperatura media;ASTURIAS;5.3;9.2;8.8;10.2;12.2;15.2;17.5;18.2;16.7;13.6;7.5;9.0;12.0
Temperatura media;AVILA;2.4;7.2;7.2;9.8;13.4;17.5;20.6;22.1;16.5;12.8;4.9;6.7;11.8
Temperatura media;BADAJOZ;7.2;11.4;12.8;15.6;18.5;22.6;25.6;26.6;22.2;18.8;10.4;10.8;16.9
Temperatura media;ILLES BALEARS;10.1;12.4;12.1;13.9;18.0;23.2;25.4;26.1;24.3;18.3;13.4;12.1;17.4
Temperatura media;BARCELONA;5.0;9.6;9.8;11.0;15.8;21.1;23.3;23.3;20.5;15.2;8.8;7.9;14.3
Temperatura media;BIZKAIA;7.0;11.4;10.4;11.3;13.7;17.4;18.5;18.9;19.2;14.9;9.2;10.4;13.5
Temperatura media;BURGOS;2.3;7.3;7.3;8.9;12.5;16.7;18.9;19.8;16.9;11.7;5.2;6.1;11.1
Temperatura media;CACERES;6.6;10.9;12.1;14.7;17.7;22.0;25.1;26.3;21.1;17.7;10.0;10.2;16.2
Temperatura media;CADIZ;10.2;13.5;14.2;16.6;19.9;22.2;25.4;26.3;23.6;20.5;13.3;13.5;18.3
Temperatura media;CANTABRIA;4.9;9.2;8.6;9.6;11.9;15.9;17.3;17.6;17.0;13.0;7.5;8.6;11.8
Temperatura media;CASTELLON/CASTELLÓ;7.0;10.1;9.7;11.0;15.9;20.1;22.8;23.1;20.2;15.9;10.1;10.2;14.7
Temperatura media;CEUTA;13.2;14.6;15.1;17.1;19.8;22.6;25.0;25.4;23.7;21.0;15.7;15.1;19.0
Temperatura media;CIUDAD REAL;5.4;10.2;10.9;13.7;18.1;22.8;26.5;27.3;21.7;17.2;8.5;8.5;15.9
Temperatura media;CORDOBA;7.6;11.5;13.1;15.5;19.5;23.4;27.1;27.8;23.3;19.3;10.5;10.5;17.4
Temperatura media;CUENCA;2.7;8.4;8.7;11.0;15.9;20.4;24.0;24.7;19.2;14.3;6.8;7.0;13.6
Temperatura media;GIPUZKOA;6.1;11.0;9.9;10.9;13.3;17.2;18.3;18.7;18.8;14.2;8.2;9.4;13.0
Temperatura media;GIRONA;5.2;9.5;9.3;10.6;14.9;20.8;22.7;22.3;20.1;14.9;9.0;7.8;13.9
Temperatura media;GRANADA;6.2;9.8;10.0;12.2;16.7;20.4;25.1;25.1;20.5;16.3;7.9;8.7;14.9
Temperatura media;GUADALAJARA;2.0;7.4;7.8;10.1;14.3;18.8;21.9;23.1;17.4;12.7;5.5;6.2;12.3
Temperatura media;HUELVA;9.4;12.7;14.6;16.8;19.5;22.2;25.7;26.4;23.2;20.2;12.9;12.8;18.0
