Diagnóstico;Sexo;Comunidad y provincia de hospitalización;Total
- Diabetes;Ambos sexos;Total;348.957
- Diabetes;Ambos sexos;Andalucía;62.693
- Diabetes;Ambos sexos;Almería;3.563
- Diabetes;Ambos sexos;Cádiz;14.229
- Diabetes;Ambos sexos;Córdoba;6.174
- Diabetes;Ambos sexos;Granada;7.986
- Diabetes;Ambos sexos;Huelva;4.232
- Diabetes;Ambos sexos;Jaén;1.433
- Diabetes;Ambos sexos;Málaga;10.372
- Diabetes;Ambos sexos;Sevilla;14.704
- Diabetes;Ambos sexos;Aragón;11.108
- Diabetes;Ambos sexos;Huesca;1.749
- Diabetes;Ambos sexos;Teruel;696
- Diabetes;Ambos sexos;Zaragoza;8.662
- Diabetes;Ambos sexos;Asturias (Principado de);13.132
- Diabetes;Ambos sexos;Balears (Illes);7.021
- Diabetes;Ambos sexos;Canarias;30.798
- Diabetes;Ambos sexos;Palmas (Las);12.405
- Diabetes;Ambos sexos;Santa Cruz de Tenerife;18.393
- Diabetes;Ambos sexos;Cantabria;4.910
- Diabetes;Ambos sexos;Castilla y León;24.248
- Diabetes;Ambos sexos;Avila;1.580
- Diabetes;Ambos sexos;Burgos;4.601
- Diabetes;Ambos sexos;León;3.804
- Diabetes;Ambos sexos;Palencia;1.268
- Diabetes;Ambos sexos;Salamanca;4.993
- Diabetes;Ambos sexos;Segovia;862
- Diabetes;Ambos sexos;Soria;490
- Diabetes;Ambos sexos;Valladolid;4.554
- Diabetes;Ambos sexos;Zamora;2.096
- Diabetes;Ambos sexos;Castilla - La Mancha;7.355
- Diabetes;Ambos sexos;Albacete;254
- Diabetes;Ambos sexos;Ciudad Real;2.499
- Diabetes;Ambos sexos;Cuenca;1.038
- Diabetes;Ambos sexos;Guadalajara;945
- Diabetes;Ambos sexos;Toledo;2.618
- Diabetes;Ambos sexos;Cataluña;57.997
- Diabetes;Ambos sexos;Barcelona;45.898
- Diabetes;Ambos sexos;Girona;3.343
- Diabetes;Ambos sexos;Lleida;4.359
- Diabetes;Ambos sexos;Tarragona;4.397
- Diabetes;Ambos sexos;Comunidad Valenciana;29.644
- Diabetes;Ambos sexos;Alicante;11.872
- Diabetes;Ambos sexos;Castellón de la Plana;2.763
- Diabetes;Ambos sexos;Valencia;15.009
- Diabetes;Ambos sexos;Extremadura;8.342
- Diabetes;Ambos sexos;Badajoz;6.489
- Diabetes;Ambos sexos;Cáceres;1.853
- Diabetes;Ambos sexos;Galicia;23.608
- Diabetes;Ambos sexos;Coruña (A);10.357
- Diabetes;Ambos sexos;Lugo;4.102
- Diabetes;Ambos sexos;Ourense;2.746
- Diabetes;Ambos sexos;Pontevedra;6.402
- Diabetes;Ambos sexos;Madrid (Comunidad de);36.262
- Diabetes;Ambos sexos;Murcia (Región de);9.178
- Diabetes;Ambos sexos;Navarra (Comun. Foral de);4.509
- Diabetes;Ambos sexos;País Vasco;13.900
- Diabetes;Ambos sexos;Alava;2.197
- Diabetes;Ambos sexos;Guipúzcoa;5.561
- Diabetes;Ambos sexos;Vizcaya;6.143
- Diabetes;Ambos sexos;Rioja (La);2.356
- Diabetes;Ambos sexos;Ceuta;1.180
- Diabetes;Ambos sexos;Melilla;718
- Diabetes;Varones;Total;179.744
- Diabetes;Varones;Andalucía;30.303
- Diabetes;Varones;Almería;1.773
- Diabetes;Varones;Cádiz;6.252
- Diabetes;Varones;Córdoba;3.129
- Diabetes;Varones;Granada;3.932
- Diabetes;Varones;Huelva;2.101
- Diabetes;Varones;Jaén;483
- Diabetes;Varones;Málaga;5.324
- Diabetes;Varones;Sevilla;7.310
- Diabetes;Varones;Aragón;5.548
- Diabetes;Varones;Huesca;878
- Diabetes;Varones;Teruel;399
- Diabetes;Varones;Zaragoza;4.271
- Diabetes;Varones;Asturias (Principado de);6.494
- Diabetes;Varones;Balears (Illes);3.618
- Diabetes;Varones;Canarias;16.135
- Diabetes;Varones;Palmas (Las);6.832
- Diabetes;Varones;Santa Cruz de Tenerife;9.303
- Diabetes;Varones;Cantabria;3.089
- Diabetes;Varones;Castilla y León;12.030
- Diabetes;Varones;Avila;898
- Diabetes;Varones;Burgos;2.220
- Diabetes;Varones;León;2.180
- Diabetes;Varones;Palencia;658
- Diabetes;Varones;Salamanca;2.224
- Diabetes;Varones;Segovia;341
- Diabetes;Varones;Soria;219
- Diabetes;Varones;Valladolid;2.104
- Diabetes;Varones;Zamora;1.185
- Diabetes;Varones;Castilla - La Mancha;3.730
- Diabetes;Varones;Albacete;254
- Diabetes;Varones;Ciudad Real;1.089
- Diabetes;Varones;Cuenca;651
- Diabetes;Varones;Guadalajara;571
- Diabetes;Varones;Toledo;1.165
- Diabetes;Varones;Cataluña;30.449
- Diabetes;Varones;Barcelona;22.724
- Diabetes;Varones;Girona;1.905
- Diabetes;Varones;Lleida;2.366
- Diabetes;Varones;Tarragona;3.455
- Diabetes;Varones;Comunidad Valenciana;15.877
- Diabetes;Varones;Alicante;6.435
- Diabetes;Varones;Castellón de la Plana;1.456
- Diabetes;Varones;Valencia;7.987
- Diabetes;Varones;Extremadura;4.404
- Diabetes;Varones;Badajoz;3.325
- Diabetes;Varones;Cáceres;1.079
- Diabetes;Varones;Galicia;12.219
- Diabetes;Varones;Coruña (A);5.618
- Diabetes;Varones;Lugo;2.204
- Diabetes;Varones;Ourense;1.500
- Diabetes;Varones;Pontevedra;2.897
- Diabetes;Varones;Madrid (Comunidad de);18.864
- Diabetes;Varones;Murcia (Región de);5.381
- Diabetes;Varones;Navarra (Comun. Foral de);2.116
- Diabetes;Varones;País Vasco;6.994
- Diabetes;Varones;Alava;1.203
- Diabetes;Varones;Guipúzcoa;2.891
- Diabetes;Varones;Vizcaya;2.899
- Diabetes;Varones;Rioja (La);1.279
- Diabetes;Varones;Ceuta;944
- Diabetes;Varones;Melilla;268
- Diabetes;Mujeres;Total;169.213
- Diabetes;Mujeres;Andalucía;32.390
- Diabetes;Mujeres;Almería;1.790
- Diabetes;Mujeres;Cádiz;7.977
- Diabetes;Mujeres;Córdoba;3.045
- Diabetes;Mujeres;Granada;4.053
- Diabetes;Mujeres;Huelva;2.132
- Diabetes;Mujeres;Jaén;950
- Diabetes;Mujeres;Málaga;5.049
- Diabetes;Mujeres;Sevilla;7.394
- Diabetes;Mujeres;Aragón;5.559
- Diabetes;Mujeres;Huesca;870
- Diabetes;Mujeres;Teruel;297
- Diabetes;Mujeres;Zaragoza;4.392
- Diabetes;Mujeres;Asturias (Principado de);6.638
- Diabetes;Mujeres;Balears (Illes);3.403
- Diabetes;Mujeres;Canarias;14.663
- Diabetes;Mujeres;Palmas (Las);5.573
- Diabetes;Mujeres;Santa Cruz de Tenerife;9.090
- Diabetes;Mujeres;Cantabria;1.821
- Diabetes;Mujeres;Castilla y León;12.218
- Diabetes;Mujeres;Avila;681
- Diabetes;Mujeres;Burgos;2.380
- Diabetes;Mujeres;León;1.623
- Diabetes;Mujeres;Palencia;611
- Diabetes;Mujeres;Salamanca;2.769
- Diabetes;Mujeres;Segovia;520
- Diabetes;Mujeres;Soria;271
- Diabetes;Mujeres;Valladolid;2.451
- Diabetes;Mujeres;Zamora;910
- Diabetes;Mujeres;Castilla - La Mancha;3.625
- Diabetes;Mujeres;Albacete;..
- Diabetes;Mujeres;Ciudad Real;1.410
- Diabetes;Mujeres;Cuenca;387
- Diabetes;Mujeres;Guadalajara;375
- Diabetes;Mujeres;Toledo;1.453
- Diabetes;Mujeres;Cataluña;27.547
- Diabetes;Mujeres;Barcelona;23.174
