Diagnóstico principal (CIE9MC);Sexo;Provincia de hospitalización y comunidad autónoma;Total
250 Diabetes mellitus;Ambos sexos;Total;296.778
250 Diabetes mellitus;Ambos sexos;Andalucía;49.179
250 Diabetes mellitus;Ambos sexos;Almería;4.267
250 Diabetes mellitus;Ambos sexos;Cádiz;7.990
250 Diabetes mellitus;Ambos sexos;Córdoba;3.575
250 Diabetes mellitus;Ambos sexos;Granada;6.432
250 Diabetes mellitus;Ambos sexos;Huelva;3.990
250 Diabetes mellitus;Ambos sexos;Jaén;2.827
250 Diabetes mellitus;Ambos sexos;Málaga;9.764
250 Diabetes mellitus;Ambos sexos;Sevilla;10.336
250 Diabetes mellitus;Ambos sexos;Aragón;8.761
250 Diabetes mellitus;Ambos sexos;Huesca;1.671
250 Diabetes mellitus;Ambos sexos;Teruel;643
250 Diabetes mellitus;Ambos sexos;Zaragoza;6.446
250 Diabetes mellitus;Ambos sexos;Asturias (Principado de);10.660
250 Diabetes mellitus;Ambos sexos;Balears (Illes);7.141
250 Diabetes mellitus;Ambos sexos;Canarias;18.371
250 Diabetes mellitus;Ambos sexos;Palmas (Las);8.594
250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;9.777
250 Diabetes mellitus;Ambos sexos;Cantabria;3.958
250 Diabetes mellitus;Ambos sexos;Castilla y León;21.027
250 Diabetes mellitus;Ambos sexos;Avila;997
250 Diabetes mellitus;Ambos sexos;Burgos;3.446
250 Diabetes mellitus;Ambos sexos;León;3.820
250 Diabetes mellitus;Ambos sexos;Palencia;1.125
250 Diabetes mellitus;Ambos sexos;Salamanca;3.187
250 Diabetes mellitus;Ambos sexos;Segovia;763
250 Diabetes mellitus;Ambos sexos;Soria;807
250 Diabetes mellitus;Ambos sexos;Valladolid;4.578
250 Diabetes mellitus;Ambos sexos;Zamora;2.304
250 Diabetes mellitus;Ambos sexos;Castilla - La Mancha;10.742
250 Diabetes mellitus;Ambos sexos;Albacete;2.180
250 Diabetes mellitus;Ambos sexos;Ciudad Real;3.063
250 Diabetes mellitus;Ambos sexos;Cuenca;1.376
250 Diabetes mellitus;Ambos sexos;Guadalajara;936
250 Diabetes mellitus;Ambos sexos;Toledo;3.186
250 Diabetes mellitus;Ambos sexos;Cataluña;48.503
250 Diabetes mellitus;Ambos sexos;Barcelona;39.117
250 Diabetes mellitus;Ambos sexos;Girona;2.703
250 Diabetes mellitus;Ambos sexos;Lleida;2.104
250 Diabetes mellitus;Ambos sexos;Tarragona;4.580
250 Diabetes mellitus;Ambos sexos;Comunitat Valenciana;26.945
250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;10.809
250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;3.089
250 Diabetes mellitus;Ambos sexos;Valencia/València;13.047
250 Diabetes mellitus;Ambos sexos;Extremadura;6.464
250 Diabetes mellitus;Ambos sexos;Badajoz;4.667
250 Diabetes mellitus;Ambos sexos;Cáceres;1.797
250 Diabetes mellitus;Ambos sexos;Galicia;19.392
250 Diabetes mellitus;Ambos sexos;Coruña (A);7.542
250 Diabetes mellitus;Ambos sexos;Lugo;3.364
250 Diabetes mellitus;Ambos sexos;Ourense;2.684
250 Diabetes mellitus;Ambos sexos;Pontevedra;5.803
250 Diabetes mellitus;Ambos sexos;Madrid (Comunidad de);31.293
250 Diabetes mellitus;Ambos sexos;Murcia (Región de);11.249
250 Diabetes mellitus;Ambos sexos;Navarra (Comun. Foral de);4.224
250 Diabetes mellitus;Ambos sexos;País Vasco;13.530
250 Diabetes mellitus;Ambos sexos;Alava;2.522
250 Diabetes mellitus;Ambos sexos;Guipúzcoa;6.270
250 Diabetes mellitus;Ambos sexos;Vizcaya;4.738
250 Diabetes mellitus;Ambos sexos;Rioja (La);2.806
250 Diabetes mellitus;Ambos sexos;Ceuta;1.569
250 Diabetes mellitus;Ambos sexos;Melilla;965
250 Diabetes mellitus;Varones;Total;167.823
250 Diabetes mellitus;Varones;Andalucía;28.769
250 Diabetes mellitus;Varones;Almería;2.436
250 Diabetes mellitus;Varones;Cádiz;4.451
250 Diabetes mellitus;Varones;Córdoba;2.256
250 Diabetes mellitus;Varones;Granada;3.754
250 Diabetes mellitus;Varones;Huelva;2.190
250 Diabetes mellitus;Varones;Jaén;1.657
250 Diabetes mellitus;Varones;Málaga;6.079
250 Diabetes mellitus;Varones;Sevilla;5.948
