Diagnóstico principal (CIE9MC);Sexo;Provincia, Comunidad y Ciudad autónoma de hospitalización;Total
249-250 Diabetes mellitus;Ambos sexos;TOTAL NACIONAL;28.617
249-250 Diabetes mellitus;Ambos sexos;ANDALUCÍA;3.921
249-250 Diabetes mellitus;Ambos sexos;Almería;318
249-250 Diabetes mellitus;Ambos sexos;Cádiz;632
249-250 Diabetes mellitus;Ambos sexos;Córdoba;288
249-250 Diabetes mellitus;Ambos sexos;Granada;592
249-250 Diabetes mellitus;Ambos sexos;Huelva;192
249-250 Diabetes mellitus;Ambos sexos;Jaén;379
249-250 Diabetes mellitus;Ambos sexos;Málaga;636
249-250 Diabetes mellitus;Ambos sexos;Sevilla;884
249-250 Diabetes mellitus;Ambos sexos;ARAGÓN;972
249-250 Diabetes mellitus;Ambos sexos;Huesca;152
249-250 Diabetes mellitus;Ambos sexos;Teruel;83
249-250 Diabetes mellitus;Ambos sexos;Zaragoza;737
249-250 Diabetes mellitus;Ambos sexos;ASTURIAS, PRINCIPADO DE;895
249-250 Diabetes mellitus;Ambos sexos;BALEARS, ILLES;849
249-250 Diabetes mellitus;Ambos sexos;CANARIAS;1.318
249-250 Diabetes mellitus;Ambos sexos;Palmas, Las;710
249-250 Diabetes mellitus;Ambos sexos;Santa Cruz de Tenerife;608
249-250 Diabetes mellitus;Ambos sexos;CANTABRIA;333
249-250 Diabetes mellitus;Ambos sexos;CASTILLA Y LEÓN;1.958
249-250 Diabetes mellitus;Ambos sexos;Ávila;118
249-250 Diabetes mellitus;Ambos sexos;Burgos;266
249-250 Diabetes mellitus;Ambos sexos;León;330
249-250 Diabetes mellitus;Ambos sexos;Palencia;134
249-250 Diabetes mellitus;Ambos sexos;Salamanca;408
249-250 Diabetes mellitus;Ambos sexos;Segovia;73
249-250 Diabetes mellitus;Ambos sexos;Soria;56
249-250 Diabetes mellitus;Ambos sexos;Valladolid;391
249-250 Diabetes mellitus;Ambos sexos;Zamora;182
249-250 Diabetes mellitus;Ambos sexos;CASTILLA - LA MANCHA;974
249-250 Diabetes mellitus;Ambos sexos;Albacete;217
249-250 Diabetes mellitus;Ambos sexos;Ciudad Real;333
249-250 Diabetes mellitus;Ambos sexos;Cuenca;77
249-250 Diabetes mellitus;Ambos sexos;Guadalajara;104
249-250 Diabetes mellitus;Ambos sexos;Toledo;243
249-250 Diabetes mellitus;Ambos sexos;CATALUÑA;4.999
249-250 Diabetes mellitus;Ambos sexos;Barcelona;3.987
249-250 Diabetes mellitus;Ambos sexos;Girona;353
249-250 Diabetes mellitus;Ambos sexos;Lleida;189
249-250 Diabetes mellitus;Ambos sexos;Tarragona;470
249-250 Diabetes mellitus;Ambos sexos;COMUNITAT VALENCIANA;3.460
249-250 Diabetes mellitus;Ambos sexos;Alicante/Alacant;1.435
249-250 Diabetes mellitus;Ambos sexos;Castellón/Castelló;361
249-250 Diabetes mellitus;Ambos sexos;Valencia/València;1.664
249-250 Diabetes mellitus;Ambos sexos;EXTREMADURA;740
249-250 Diabetes mellitus;Ambos sexos;Badajoz;523
249-250 Diabetes mellitus;Ambos sexos;Cáceres;217
249-250 Diabetes mellitus;Ambos sexos;GALICIA;1.603
249-250 Diabetes mellitus;Ambos sexos;Coruña, A;636
249-250 Diabetes mellitus;Ambos sexos;Lugo;255
249-250 Diabetes mellitus;Ambos sexos;Ourense;179
249-250 Diabetes mellitus;Ambos sexos;Pontevedra;533
249-250 Diabetes mellitus;Ambos sexos;MADRID, COMUNIDAD DE;3.074
249-250 Diabetes mellitus;Ambos sexos;MURCIA, REGIÓN DE;1.118
249-250 Diabetes mellitus;Ambos sexos;NAVARRA, COMUNIDAD FORAL DE;389
249-250 Diabetes mellitus;Ambos sexos;PAÍS VASCO;1.485
249-250 Diabetes mellitus;Ambos sexos;Araba/Álava;224
249-250 Diabetes mellitus;Ambos sexos;Bizkaia;655
249-250 Diabetes mellitus;Ambos sexos;Gipuzkoa;606
249-250 Diabetes mellitus;Ambos sexos;RIOJA, LA;349
249-250 Diabetes mellitus;Ambos sexos;Ceuta;101
249-250 Diabetes mellitus;Ambos sexos;Melilla;78
249-250 Diabetes mellitus;Hombres;TOTAL NACIONAL;16.394
249-250 Diabetes mellitus;Hombres;ANDALUCÍA;2.366
249-250 Diabetes mellitus;Hombres;Almería;176
249-250 Diabetes mellitus;Hombres;Cádiz;347
249-250 Diabetes mellitus;Hombres;Córdoba;150
249-250 Diabetes mellitus;Hombres;Granada;345
249-250 Diabetes mellitus;Hombres;Huelva;128
249-250 Diabetes mellitus;Hombres;Jaén;262
249-250 Diabetes mellitus;Hombres;Málaga;410
249-250 Diabetes mellitus;Hombres;Sevilla;548
249-250 Diabetes mellitus;Hombres;ARAGÓN;570
249-250 Diabetes mellitus;Hombres;Huesca;88
249-250 Diabetes mellitus;Hombres;Teruel;47
249-250 Diabetes mellitus;Hombres;Zaragoza;435
249-250 Diabetes mellitus;Hombres;ASTURIAS, PRINCIPADO DE;516
249-250 Diabetes mellitus;Hombres;BALEARS, ILLES;538
249-250 Diabetes mellitus;Hombres;CANARIAS;746
249-250 Diabetes mellitus;Hombres;Palmas, Las;400
249-250 Diabetes mellitus;Hombres;Santa Cruz de Tenerife;346
249-250 Diabetes mellitus;Hombres;CANTABRIA;179
249-250 Diabetes mellitus;Hombres;CASTILLA Y LEÓN;1.070
249-250 Diabetes mellitus;Hombres;Ávila;65
249-250 Diabetes mellitus;Hombres;Burgos;144
249-250 Diabetes mellitus;Hombres;León;183
249-250 Diabetes mellitus;Hombres;Palencia;73
249-250 Diabetes mellitus;Hombres;Salamanca;211
249-250 Diabetes mellitus;Hombres;Segovia;42
249-250 Diabetes mellitus;Hombres;Soria;29
249-250 Diabetes mellitus;Hombres;Valladolid;226
249-250 Diabetes mellitus;Hombres;Zamora;97
249-250 Diabetes mellitus;Hombres;CASTILLA - LA MANCHA;527
