Diagnóstico principal (CIE9MC);Sexo;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Total
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;;;26.481
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;;3.758
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;04 Almería;338
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;11 Cádiz;646
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;14 Córdoba;293
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;18 Granada;458
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;21 Huelva;268
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;23 Jaén;335
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;29 Málaga;623
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;01 Andalucía;41 Sevilla;797
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;02 Aragón;;889
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;02 Aragón;22 Huesca;143
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;02 Aragón;44 Teruel;71
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;02 Aragón;50 Zaragoza;675
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;03 Asturias, Principado de;;753
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;04 Balears, Illes;;797
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;05 Canarias;;1.190
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;05 Canarias;35 Palmas, Las;675
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;515
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;06 Cantabria;;386
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;;1.741
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;05 Ávila;97
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;09 Burgos;220
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;24 León;336
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;34 Palencia;109
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;37 Salamanca;357
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;40 Segovia;51
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;42 Soria;45
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;47 Valladolid;372
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;07 Castilla y León;49 Zamora;154
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;08 Castilla - La Mancha;;990
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;08 Castilla - La Mancha;02 Albacete;226
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;08 Castilla - La Mancha;13 Ciudad Real;286
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;08 Castilla - La Mancha;16 Cuenca;92
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;08 Castilla - La Mancha;19 Guadalajara;132
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;08 Castilla - La Mancha;45 Toledo;254
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;09 Cataluña;;4.466
249-250 Diabetes mellitus;Ambos sexos;Total Nacional;09 Cataluña;08 Barcelona;3.533
