Causa de muerte;Sexo;Provincias;Periodo;Total
044  Diabetes mellitus;Total;Nacional;2022;11.063
044  Diabetes mellitus;Total;Nacional;2021;10.748
044  Diabetes mellitus;Total;Nacional;2020;11.297
044  Diabetes mellitus;Total;Nacional;2019;9.644
044  Diabetes mellitus;Total;Nacional;2018;9.921
044  Diabetes mellitus;Total;Nacional;2017;9.773
044  Diabetes mellitus;Total;Nacional;2016;9.310
044  Diabetes mellitus;Total;Nacional;2015;10.181
044  Diabetes mellitus;Total;Nacional;2014;9.625
044  Diabetes mellitus;Total;Nacional;2013;9.391
044  Diabetes mellitus;Total;Nacional;2012;9.987
044  Diabetes mellitus;Total;Nacional;2011;9.995
044  Diabetes mellitus;Total;Nacional;2010;9.799
044  Diabetes mellitus;Total;Nacional;2009;9.985
044  Diabetes mellitus;Total;Nacional;2008;10.153
044  Diabetes mellitus;Total;Nacional;2007;10.152
044  Diabetes mellitus;Total;Nacional;2006;9.675
044  Diabetes mellitus;Total;Nacional;2005;10.339
044  Diabetes mellitus;Total;Nacional;2004;9.966
044  Diabetes mellitus;Total;Nacional;2003;10.099
044  Diabetes mellitus;Total;Nacional;2002;9.754
044  Diabetes mellitus;Total;Nacional;2001;9.581
044  Diabetes mellitus;Total;Nacional;2000;9.253
044  Diabetes mellitus;Total;Nacional;1999;9.720
044  Diabetes mellitus;Total;Nacional;1998;9.533
044  Diabetes mellitus;Total;Nacional;1997;8.869
044  Diabetes mellitus;Total;Nacional;1996;8.979
044  Diabetes mellitus;Total;Nacional;1995;9.151
044  Diabetes mellitus;Total;Nacional;1994;8.977
044  Diabetes mellitus;Total;Nacional;1993;8.920
044  Diabetes mellitus;Total;Nacional;1992;8.558
044  Diabetes mellitus;Total;Nacional;1991;9.139
044  Diabetes mellitus;Total;Nacional;1990;8.989
044  Diabetes mellitus;Total;Nacional;1989;8.880
044  Diabetes mellitus;Total;Nacional;1988;8.888
044  Diabetes mellitus;Total;Nacional;1987;8.805
044  Diabetes mellitus;Total;Nacional;1986;8.667
044  Diabetes mellitus;Total;Nacional;1985;8.453
044  Diabetes mellitus;Total;Nacional;1984;8.382
044  Diabetes mellitus;Total;Nacional;1983;8.040
044  Diabetes mellitus;Total;Nacional;1982;7.541
044  Diabetes mellitus;Total;Nacional;1981;7.323
044  Diabetes mellitus;Total;Nacional;1980;6.962
044  Diabetes mellitus;Total;02 Albacete;2022;66
044  Diabetes mellitus;Total;02 Albacete;2021;90
044  Diabetes mellitus;Total;02 Albacete;2020;99
044  Diabetes mellitus;Total;02 Albacete;2019;66
044  Diabetes mellitus;Total;02 Albacete;2018;89
044  Diabetes mellitus;Total;02 Albacete;2017;95
044  Diabetes mellitus;Total;02 Albacete;2016;92
044  Diabetes mellitus;Total;02 Albacete;2015;98
044  Diabetes mellitus;Total;02 Albacete;2014;101
044  Diabetes mellitus;Total;02 Albacete;2013;126
044  Diabetes mellitus;Total;02 Albacete;2012;128
044  Diabetes mellitus;Total;02 Albacete;2011;116
044  Diabetes mellitus;Total;02 Albacete;2010;81
044  Diabetes mellitus;Total;02 Albacete;2009;91
044  Diabetes mellitus;Total;02 Albacete;2008;103
044  Diabetes mellitus;Total;02 Albacete;2007;106
044  Diabetes mellitus;Total;02 Albacete;2006;85
044  Diabetes mellitus;Total;02 Albacete;2005;121
044  Diabetes mellitus;Total;02 Albacete;2004;101
044  Diabetes mellitus;Total;02 Albacete;2003;97
044  Diabetes mellitus;Total;02 Albacete;2002;95
044  Diabetes mellitus;Total;02 Albacete;2001;92
044  Diabetes mellitus;Total;02 Albacete;2000;109
044  Diabetes mellitus;Total;02 Albacete;1999;87
044  Diabetes mellitus;Total;02 Albacete;1998;104
044  Diabetes mellitus;Total;02 Albacete;1997;98
044  Diabetes mellitus;Total;02 Albacete;1996;103
044  Diabetes mellitus;Total;02 Albacete;1995;93
044  Diabetes mellitus;Total;02 Albacete;1994;75
044  Diabetes mellitus;Total;02 Albacete;1993;103
044  Diabetes mellitus;Total;02 Albacete;1992;102
044  Diabetes mellitus;Total;02 Albacete;1991;107
044  Diabetes mellitus;Total;02 Albacete;1990;77
044  Diabetes mellitus;Total;02 Albacete;1989;73
044  Diabetes mellitus;Total;02 Albacete;1988;83
044  Diabetes mellitus;Total;02 Albacete;1987;80
044  Diabetes mellitus;Total;02 Albacete;1986;64
044  Diabetes mellitus;Total;02 Albacete;1985;72
044  Diabetes mellitus;Total;02 Albacete;1984;66
044  Diabetes mellitus;Total;02 Albacete;1983;70
044  Diabetes mellitus;Total;02 Albacete;1982;79
044  Diabetes mellitus;Total;02 Albacete;1981;88
044  Diabetes mellitus;Total;02 Albacete;1980;85
044  Diabetes mellitus;Total;03 Alicante/Alacant;2022;518
044  Diabetes mellitus;Total;03 Alicante/Alacant;2021;512
044  Diabetes mellitus;Total;03 Alicante/Alacant;2020;511
044  Diabetes mellitus;Total;03 Alicante/Alacant;2019;397
044  Diabetes mellitus;Total;03 Alicante/Alacant;2018;349
044  Diabetes mellitus;Total;03 Alicante/Alacant;2017;284
044  Diabetes mellitus;Total;03 Alicante/Alacant;2016;314
044  Diabetes mellitus;Total;03 Alicante/Alacant;2015;307
044  Diabetes mellitus;Total;03 Alicante/Alacant;2014;317
044  Diabetes mellitus;Total;03 Alicante/Alacant;2013;301
044  Diabetes mellitus;Total;03 Alicante/Alacant;2012;332
044  Diabetes mellitus;Total;03 Alicante/Alacant;2011;293
044  Diabetes mellitus;Total;03 Alicante/Alacant;2010;270
044  Diabetes mellitus;Total;03 Alicante/Alacant;2009;358
044  Diabetes mellitus;Total;03 Alicante/Alacant;2008;307
044  Diabetes mellitus;Total;03 Alicante/Alacant;2007;329
