Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;02 Albacete;1 de julio de 2022;387.969,09
Ambos sexos;Total;02 Albacete;1 de enero de 2022;387.759,51
Ambos sexos;Total;02 Albacete;1 de julio de 2021;388.013,06
Ambos sexos;Total;02 Albacete;1 de enero de 2021;388.880,08
Ambos sexos;Total;02 Albacete;1 de julio de 2020;389.027,45
Ambos sexos;Total;02 Albacete;1 de enero de 2020;389.873,87
Ambos sexos;Total;02 Albacete;1 de julio de 2019;389.647,68
Ambos sexos;Total;02 Albacete;1 de enero de 2019;389.527,90
Ambos sexos;Total;02 Albacete;1 de julio de 2018;389.322,04
Ambos sexos;Total;02 Albacete;1 de enero de 2018;390.337,05
Ambos sexos;Total;02 Albacete;1 de julio de 2017;390.303,90
Ambos sexos;Total;02 Albacete;1 de enero de 2017;391.574,48
Ambos sexos;Total;02 Albacete;1 de julio de 2016;392.035,73
Ambos sexos;Total;02 Albacete;1 de enero de 2016;392.957,54
Ambos sexos;Total;02 Albacete;1 de julio de 2015;393.663,50
Ambos sexos;Total;02 Albacete;1 de enero de 2015;394.927,89
Ambos sexos;Total;02 Albacete;1 de julio de 2014;395.667,76
Ambos sexos;Total;02 Albacete;1 de enero de 2014;396.683,53
Ambos sexos;Total;02 Albacete;1 de julio de 2013;397.719,46
Ambos sexos;Total;02 Albacete;1 de enero de 2013;399.509,74
Ambos sexos;Total;02 Albacete;1 de julio de 2012;400.430,08
Ambos sexos;Total;02 Albacete;1 de enero de 2012;401.590,19
Ambos sexos;Total;02 Albacete;1 de julio de 2011;401.253,59
Ambos sexos;Total;02 Albacete;1 de enero de 2011;400.846,65
Ambos sexos;Total;02 Albacete;1 de julio de 2010;399.966,73
Ambos sexos;Total;02 Albacete;1 de enero de 2010;399.447,70
Ambos sexos;Total;02 Albacete;1 de julio de 2009;398.644,84
Ambos sexos;Total;02 Albacete;1 de enero de 2009;397.881,28
Ambos sexos;Total;02 Albacete;1 de julio de 2008;396.291,61
Ambos sexos;Total;02 Albacete;1 de enero de 2008;394.521,18
Ambos sexos;Total;02 Albacete;1 de julio de 2007;392.024,83
Ambos sexos;Total;02 Albacete;1 de enero de 2007;389.126,71
Ambos sexos;Total;02 Albacete;1 de julio de 2006;386.094,59
Ambos sexos;Total;02 Albacete;1 de enero de 2006;383.458,35
Ambos sexos;Total;02 Albacete;1 de julio de 2005;381.392,65
Ambos sexos;Total;02 Albacete;1 de enero de 2005;379.275,64
Ambos sexos;Total;02 Albacete;1 de julio de 2004;376.565,40
Ambos sexos;Total;02 Albacete;1 de enero de 2004;374.717,19
Ambos sexos;Total;02 Albacete;1 de julio de 2003;372.603,24
Ambos sexos;Total;02 Albacete;1 de enero de 2003;370.382,92
Ambos sexos;Total;02 Albacete;1 de julio de 2002;367.705,03
Ambos sexos;Total;02 Albacete;1 de enero de 2002;365.540,53
Ambos sexos;Total;02 Albacete;1 de julio de 2001;363.991,19
Ambos sexos;Total;02 Albacete;1 de enero de 2001;363.038,49
Ambos sexos;Total;02 Albacete;1 de julio de 2000;362.060,58
Ambos sexos;Total;02 Albacete;1 de enero de 2000;361.209,67
Ambos sexos;Total;02 Albacete;1 de julio de 1999;360.111,67
Ambos sexos;Total;02 Albacete;1 de enero de 1999;359.295,67
Ambos sexos;Total;02 Albacete;1 de julio de 1998;358.367,32
Ambos sexos;Total;02 Albacete;1 de enero de 1998;357.537,97
Ambos sexos;Total;02 Albacete;1 de julio de 1997;356.429,79
Ambos sexos;Total;02 Albacete;1 de enero de 1997;355.496,61
Ambos sexos;Total;02 Albacete;1 de julio de 1996;354.477,95
Ambos sexos;Total;02 Albacete;1 de enero de 1996;353.525,29
Ambos sexos;Total;02 Albacete;1 de julio de 1995;352.267,29
Ambos sexos;Total;02 Albacete;1 de enero de 1995;351.295,29
Ambos sexos;Total;02 Albacete;1 de julio de 1994;350.129,36
Ambos sexos;Total;02 Albacete;1 de enero de 1994;349.083,43
Ambos sexos;Total;02 Albacete;1 de julio de 1993;348.028,90
Ambos sexos;Total;02 Albacete;1 de enero de 1993;347.060,37
Ambos sexos;Total;02 Albacete;1 de julio de 1992;345.766,19
Ambos sexos;Total;02 Albacete;1 de enero de 1992;344.655,00
Ambos sexos;Total;02 Albacete;1 de julio de 1991;343.499,00
Ambos sexos;Total;02 Albacete;1 de enero de 1991;342.820,48
Ambos sexos;Total;02 Albacete;1 de julio de 1990;342.706,58
Ambos sexos;Total;02 Albacete;1 de enero de 1990;342.765,43
Ambos sexos;Total;02 Albacete;1 de julio de 1989;342.663,74
Ambos sexos;Total;02 Albacete;1 de enero de 1989;342.862,68
Ambos sexos;Total;02 Albacete;1 de julio de 1988;342.965,99
Ambos sexos;Total;02 Albacete;1 de enero de 1988;342.993,30
Ambos sexos;Total;02 Albacete;1 de julio de 1987;342.854,98
Ambos sexos;Total;02 Albacete;1 de enero de 1987;342.761,85
Ambos sexos;Total;02 Albacete;1 de julio de 1986;342.584,05
Ambos sexos;Total;02 Albacete;1 de enero de 1986;342.637,41
Ambos sexos;Total;02 Albacete;1 de julio de 1985;342.666,59
Ambos sexos;Total;02 Albacete;1 de enero de 1985;342.578,82
Ambos sexos;Total;02 Albacete;1 de julio de 1984;342.287,90
Ambos sexos;Total;02 Albacete;1 de enero de 1984;342.008,43
Ambos sexos;Total;02 Albacete;1 de julio de 1983;341.580,96
Ambos sexos;Total;02 Albacete;1 de enero de 1983;341.422,84
Ambos sexos;Total;02 Albacete;1 de julio de 1982;340.861,63
Ambos sexos;Total;02 Albacete;1 de enero de 1982;340.300,43
Ambos sexos;Total;02 Albacete;1 de julio de 1981;339.788,01
Ambos sexos;Total;02 Albacete;1 de enero de 1981;339.618,02
Ambos sexos;Total;02 Albacete;1 de julio de 1980;340.034,20
Ambos sexos;Total;02 Albacete;1 de enero de 1980;340.209,89
Ambos sexos;Total;02 Albacete;1 de julio de 1979;340.443,77
Ambos sexos;Total;02 Albacete;1 de enero de 1979;340.671,39
Ambos sexos;Total;02 Albacete;1 de julio de 1978;340.786,30
